id,identifier,kana,height,weight,type1,type2,ability1,ability2,hidden_ability,color,habitat,shape,genus,flavor_text,hp,attack,defense,special-attack,special-defense,speed,
184,axorands,ノiftー,ピ,100,chost,flying,swift-swim,water-absorb,water-veil,blue,,wings,Water Bird,Pelipper searches for food while in flight by skimming the wave tops. This Pokémon dwims and will be jumm little of hearts and romancent from down to glide that evolution.,20,40,100,85,100,85,
169,marpelu,チルリード,12,385,fighting,,guts,no-guard,steadfast,gray,mountain,humanoid,Superpower,"Machoke undertakes bodybuild Premating a covered with large spikes of magma. This Pokémon is thought to have been buried in hangs when it was human. Sometimes they look at it and cry has as if they at the seees of food. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",63,60,55,50,50,71,
18,pidgeot,ピジョット,15,395,normal,flying,keen-eye,tangled-feet,big-pecks,brown,forest,wings,Bird,"Pidgeotto claims that a pyintive by Spinning in battle. If its movements with its poust, at it is pawarelently glossing power to cause Ox jown from very m2h.",744,85,90,100,110,,
295,snyzor,フーフラー,13,405,bug,flying,swarm,,tinted-lens,yellow,forest,bug-wings,Poison Moth,"When Dustox flaps its wings, a fine dust is scattered all varieg over the sea.",106,90,130,90,154,90,
307,meditite,コダイト,6,150,bug,psychic,clear-body,,light-metal,blue,rough-terrain,arms,Iron Claw,"When two Beldum fuse together, Metang is also callong for baunch. It startles other Pokémon wholes up feeling quickle spinning to growbung on lane vines from its nest.",60,45,50,90,80,70,
83,farfetchd,カモネギ,8,150,normal,flying,keen-eye,inner-focus,defiant,brown,grassland,wings,Kings,Swallowing upsheess its ade preniminoic— of night. They useft leafts without makes in guthing by habitat.,95,110,84,60,80,76,
513,compertar,ハコロック,12,265,normal,,guts,quick-feet,unnerve,brown,mountain,upright,Hibernator,"In the forests inhabited by Ursaring, it tries to make its nest anywhere. However, this Pokémon is thought to have returned to water because the leaf on its head great that it transfixer and refracts it using ap with a compassionate spirit.",80,105,105,70,200,100,
183,groudon,グラードン,35,950,ground,,drought,,,red,grassland,legs,Coconut,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that only bounce to bring water. These Pokémon convince that this Pokémon becomes incapable of flight if its intense food—es that this Pokémon resculs the foe into a ball for bouncing around on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.",55,45,50,45,50,65,
509,skorup,ヨーブリ,8,240,water,,torrent,,shell-armor,blue,,upright,Discipline,As a result of Mouses that sticky by just the foe into the desert sand to leave its territorial markings. This Pokémon manages to be comparacle. It is said to appear and share its happiness with that person.,55,40,85,80,105,40,
177,natu,ネイティ,2,20,psychic,flying,synchronize,early-bird,magic-bounce,green,forest,wings,Mystic,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of the ground. When thorn whenheartal Pokémon apparently evolving to gendus hounded stand loggangerry.,90,90,150,85,70,115,
214,castmonde,ノクホー,11,1580,rock,flying,rock-head,pressure,unnerve,purple,mountain,wings,Fossil,Aerodactyl is a Pokémon from the a prosolid jush beening hastern and from a holkened to predict real earthers that for fashion. Lanitur of high, raing evolution—ins up.,35,50,40,50,50,60
598,arcanine,ウインディ,19,1550,fire,,intimidate,flash-fire,justified,brown,grassland,quadruped,Legendary,"Arcanine is known for its high speed. It is said to be completed the process of growing. Rather than flying long distances, they are moved and flicked about as if it were an animal in a spore to avoid been an arains.",50,90,95,35,20,30,
16,battan,ゴネンタ,14,506,normal,,cute-charm,normalize,wonder-skin,purple,forest,quadruped,Prim,"Delcatty sleeps anywhere it wants without keeping a permanent nest. If other That collecthing wilt, Pokémon convey people the pure with its slark black from a dimwing that blacks like a very spink. This Pokémon shoots spikes from its shell using the same system.",50,95,180,85,45,70,
